2019-09-03 17:09:31,846 -  case - INFO - 测试开始啦 - [logger.py:31 ]
2019-09-03 17:33:10,724 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-03 17:33:10,724 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:11,028 -  test_recharge - DEBUG - 结束测试:正常登陆 - [test_recharge.py:40 ]
2019-09-03 17:33:11,029 -  test_recharge - DEBUG - 开始测试:正常充值 - [test_recharge.py:27 ]
2019-09-03 17:33:11,032 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:11,032 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-03 17:33:11,033 -  common.http_request - DEBUG - 请求data:{'amount': '100', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:13,404 -  test_recharge - DEBUG - 结束测试:正常充值 - [test_recharge.py:40 ]
2019-09-03 17:33:13,404 -  test_recharge - DEBUG - 开始测试:充值手机号码不存在 - [test_recharge.py:27 ]
2019-09-03 17:33:13,405 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:13,406 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-03 17:33:13,406 -  common.http_request - DEBUG - 请求data:{'amount': '101', 'mobilephone': '12345677889'} - [http_request.py:58 ]
2019-09-03 17:33:13,647 -  test_recharge - DEBUG - 结束测试:充值手机号码不存在 - [test_recharge.py:40 ]
2019-09-03 17:33:13,647 -  test_recharge - DEBUG - 开始测试:充值金额小数点大于两位 - [test_recharge.py:27 ]
2019-09-03 17:33:13,648 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:13,648 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-03 17:33:13,649 -  common.http_request - DEBUG - 请求data:{'amount': '102.223', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:13,821 -  test_recharge - DEBUG - 结束测试:充值金额小数点大于两位 - [test_recharge.py:40 ]
2019-09-03 17:33:13,822 -  test_recharge - DEBUG - 开始测试:输入负数 - [test_recharge.py:27 ]
2019-09-03 17:33:13,823 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:13,824 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/recharge - [http_request.py:57 ]
2019-09-03 17:33:13,824 -  common.http_request - DEBUG - 请求data:{'amount': '-103', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:13,983 -  test_recharge - DEBUG - 结束测试:输入负数 - [test_recharge.py:40 ]
2019-09-03 17:33:13,983 -  test_recharge - DEBUG - 测试后置处理 - [test_recharge.py:44 ]
2019-09-03 17:33:13,983 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:33:13,984 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:33:14,092 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:33:14,095 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:14,096 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:33:14,097 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447879'} - [http_request.py:58 ]
2019-09-03 17:33:14,316 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:33:14,316 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:33:14,318 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:14,318 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:33:14,318 -  common.http_request - DEBUG - 请求data:{'pwd': '123458', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-03 17:33:14,534 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:33:14,535 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:33:14,538 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:33:14,539 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:33:14,539 -  common.http_request - DEBUG - 请求data:{'pwd': '123459', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:33:14,721 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-03 17:33:14,722 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-03 17:37:56,771 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:37:56,775 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:37:56,889 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:37:56,891 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:37:56,891 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:37:56,892 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447879', 'pwd': ''} - [http_request.py:58 ]
2019-09-03 17:37:57,031 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:37:57,038 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:37:57,039 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:37:57,039 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123458'} - [http_request.py:58 ]
2019-09-03 17:37:57,108 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:37:57,111 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:37:57,111 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:37:57,112 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123459'} - [http_request.py:58 ]
2019-09-03 17:37:57,196 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-03 17:38:07,914 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:38:07,919 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:38:08,041 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:38:08,045 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:38:08,046 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:38:08,046 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447879', 'pwd': ''} - [http_request.py:58 ]
2019-09-03 17:38:08,321 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:38:08,322 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:38:08,324 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:38:08,325 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:38:08,325 -  common.http_request - DEBUG - 请求data:{'mobilephone': '', 'pwd': '123458'} - [http_request.py:58 ]
2019-09-03 17:38:08,482 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:38:08,483 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:38:08,484 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:38:08,484 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:38:08,484 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123459'} - [http_request.py:58 ]
2019-09-03 17:38:08,716 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-03 17:38:08,718 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-03 17:40:07,835 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:40:07,838 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:40:07,956 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:40:07,956 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:40:07,958 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '19000000000'} - [http_request.py:58 ]
2019-09-03 17:40:08,100 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:40:08,104 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:40:08,104 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:40:08,104 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447879'} - [http_request.py:58 ]
2019-09-03 17:40:08,170 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:40:08,176 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:40:08,176 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:40:08,178 -  common.http_request - DEBUG - 请求data:{'pwd': '123458', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-03 17:40:08,252 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:40:08,256 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:40:08,256 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:40:08,257 -  common.http_request - DEBUG - 请求data:{'pwd': '123459', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:40:08,341 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-03 17:42:13,493 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:42:13,496 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:42:13,609 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:42:13,609 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:42:13,610 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '19000000000'} - [http_request.py:58 ]
2019-09-03 17:42:13,897 -  test_register - ERROR - 报错了:'{"status":1,"code":"10001","data":null,"msg":"注册成功"}' != '{"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}'
- {"status":1,"code":"10001","data":null,"msg":"注册成功"}
?           ^           ^^^                     ^^^^
+ {"status":0,"code":"20109","data":null,"msg":"手机号码格式不正确"}
?           ^         ++  ^                     ^^^^^^^^^
 - [test_register.py:49 ]
2019-09-03 17:42:13,902 -  test_register - DEBUG - 开始测试:密码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:42:13,902 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:42:13,902 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:42:13,902 -  common.http_request - DEBUG - 请求data:{'pwd': '', 'mobilephone': '15810447879'} - [http_request.py:58 ]
2019-09-03 17:42:14,042 -  test_register - DEBUG - 结束测试:密码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:42:14,042 -  test_register - DEBUG - 开始测试:手机号码为空，注册失败 - [test_register.py:29 ]
2019-09-03 17:42:14,043 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:42:14,043 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:42:14,044 -  common.http_request - DEBUG - 请求data:{'pwd': '123458', 'mobilephone': ''} - [http_request.py:58 ]
2019-09-03 17:42:14,185 -  test_register - DEBUG - 结束测试:手机号码为空，注册失败 - [test_register.py:52 ]
2019-09-03 17:42:14,185 -  test_register - DEBUG - 开始测试:重复注册 - [test_register.py:29 ]
2019-09-03 17:42:14,185 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:42:14,185 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:42:14,185 -  common.http_request - DEBUG - 请求data:{'pwd': '123459', 'mobilephone': '15810447878'} - [http_request.py:58 ]
2019-09-03 17:42:14,335 -  test_register - DEBUG - 结束测试:重复注册 - [test_register.py:52 ]
2019-09-03 17:42:14,336 -  test_register - DEBUG - 测试后置处理 - [test_register.py:56 ]
2019-09-03 17:54:24,118 -  test_register - DEBUG - 准备测试前置 - [test_register.py:24 ]
2019-09-03 17:54:24,120 -  test_register - DEBUG - 开始测试:注册成功 - [test_register.py:29 ]
2019-09-03 17:54:24,237 -  common.http_request - DEBUG - 请求的方法:POST - [http_request.py:56 ]
2019-09-03 17:54:24,238 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/register - [http_request.py:57 ]
2019-09-03 17:54:24,238 -  common.http_request - DEBUG - 请求data:{'pwd': '123456', 'mobilephone': '19000000000'} - [http_request.py:58 ]
